,max_yield,max_yield,max_yield,max_yield,max_yield,max_yield,min_yield,min_yield,min_yield,min_yield,min_yield,min_yield,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Time,Time,Time,Time,Time,Time,month_of_max_yield,month_of_max_yield,month_of_max_yield,month_of_max_yield,month_of_max_yield,month_of_max_yield,month_of_min_yield,month_of_min_yield,month_of_min_yield,month_of_min_yield,month_of_min_yield,month_of_min_yield
,count,mean,median,std,q25,q75,count,mean,median,std,q25,q75,count,mean,median,std,q25,q75,count,mean,median,std,q25,q75,count,mean,median,std,q25,q75,count,mean,median,std,q25,q75
cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5122,29.008483062093973,4.3081789565845,34.28409400047271,0.944836277413186,65.7577933368857,5122,0.13704943326769287,0.0655190338383128,0.16549874511784302,0.004196287969355,0.234860067964016,5122,28.87143362882628,4.2455898827527,34.26668830052384,0.8626276298181217,65.5890963267792,5122,2.2838734869191724,2.0,1.336642638209897,1.0,3.0,5122,7.847910972276455,8.0,1.8128898329618448,7.0,9.0,5122,5.626122608356111,6.0,1.3140837155682163,4.0,7.0
1,26615,27.791545127401612,21.5545497138839,25.321320879512296,4.35781006975908,44.0380919918597,26615,0.22157409698523065,0.0582282686885553,0.3820752660018551,0.0091401098935375,0.264058840557766,26615,27.569971030416383,21.549776658343,25.24395279170617,4.313000933174433,43.983904983548015,26615,2.9893293255682885,3.0,1.0561554807443534,2.0,4.0,26615,8.428066879579184,8.0,1.5406863283619805,8.0,9.0,26615,11.28393762915649,12.0,1.8928548151763487,11.0,12.0
2,26696,23.675030739750966,10.088014408264,25.302448849823644,5.74287377679922,36.8333579269102,26696,0.10742542349515019,0.0409360370786499,0.22422097522183929,0.0127953585680188,0.0884180694318221,26696,23.56760531625582,9.630794399381788,25.313232836365444,5.738132128505518,36.75407968539744,26696,5.920437518729398,6.0,1.9517403713697994,5.0,7.0,26696,4.807162121666167,5.0,1.4043155944821333,4.0,6.0,26696,9.172460293676956,11.0,4.283553326314325,9.0,12.0
3,5125,177.82974548381804,147.036191293402,84.55055045451464,132.241006394721,179.731344298395,5125,0.05537707619925272,0.0047558452145998,0.18622742740696224,0.000679995527685,0.0125578902282854,5125,177.77436840761877,147.0355107679312,84.56858791066446,132.22898959000315,179.6780447774026,5125,4.908487804878049,4.0,2.07151986032264,3.0,6.0,5125,8.472780487804878,8.0,0.8570155081421135,8.0,9.0,5125,7.958048780487805,12.0,5.035509746690733,2.0,12.0
4,2811,38.59777116485895,36.647861075137,7.157333165890661,32.1418748007225,41.1857634797977,2811,4.748839136169014,4.85481169363313,0.5581324512529051,4.16821130910941,5.37652663439541,2811,33.84893202868994,32.33054576560619,7.285723272947433,27.287063107089367,35.80923684540229,2811,6.218071860547847,7.0,2.600665254987592,4.0,9.0,2811,6.291711134827463,7.0,2.915829717741029,4.0,9.0,2811,8.04873710423337,11.0,4.541086573248374,1.0,11.0
5,22944,30.873596070455672,19.6779405808717,31.521285134298257,2.09480103753171,53.8462614033515,22944,0.1584770005696904,0.0420643280964545,0.3602438192067845,0.0094003620173992,0.1053008700537,22944,30.715119069885983,19.31549733076137,31.48398866341827,2.052736709435256,53.7974570836417,22944,7.48491980474198,7.0,1.4445056059584371,7.0,8.0,22944,8.319604253835426,9.0,1.8036046324903252,8.0,9.0,22944,1.7024494421199443,1.0,2.16605285258174,1.0,1.0
